state,avg_age
ALASKA,55
AMERICAN SAMOA,46
ARKANSAS,55
CALIFORNIA,48
COLORADO,42
CONNECTICUT,50
DISTRICT OF COLUMBIA,53
FEDERATED STATES OF MICRONESIA,30
FLORIDA,60
GEORGIA,44
GUAM,62
HAWAII,66
IDAHO,35
INDIANA,51
KANSAS,66
KENTUCKY,62
LOUISIANA,62
MAINE,46
MARYLAND,52
MASSACHUSETTS,48
MINNESOTA,42
MISSISSIPPI,46
MISSOURI,54
MONTANA,59
NEVADA,52
NEW HAMPSHIRE,54
NEW JERSEY,31
NEW MEXICO,42
NEW YORK,60
NORTH CAROLINA,49
NORTH DAKOTA,62
NORTHERN MARIANA ISLANDS,58
OKLAHOMA,47
PALAU,42
PENNSYLVANIA,54
RHODE ISLAND,66
SOUTH DAKOTA,50
TENNESSEE,63
TEXAS,55
undefined,39
UTAH,47
VERMONT,39
VIRGIN ISLANDS,52
VIRGINIA,38
WASHINGTON,44
WEST VIRGINIA,38
WISCONSIN,63
